iteration,p_response,c_drug,u_gain
0,0.36642148289243576,13208.769011971968,0.13154127925522888
1,0.2854394927537791,13343.14840944522,0.11379569148375404
2,0.3221816474308621,12827.809189085347,0.12108614180778753
3,0.36379474659871325,11980.112402237259,0.13719092956155168
4,0.3124505168341607,11695.59158738665,0.09677152355279837
5,0.37942497525479585,11997.05879139638,0.11731455320729321
6,0.3102488658840919,11557.064373058189,0.10853926933854921
7,0.33508965865853496,13978.756879632534,0.14317723492182774
8,0.2230281788560621,9331.041337491215,0.08301249029257904
9,0.32782806302684725,12259.906087371632,0.11848299433179307
10,0.4592816864267142,10350.939300455224,0.1345227595076816
11,0.4552873954485082,12930.966065824956,0.16580711930336084
12,0.323307870427508,9639.64645405743,0.1159917410760389
13,0.35438888388064127,10195.0064803531,0.10132333106855708
14,0.3452610934525091,10579.942281444795,0.11428297008030043
15,0.35370421868183477,11990.854380801355,0.10562597067573669
16,0.3791620590084178,13320.315243466697,0.13456961412478416
17,0.30849380190768017,13065.395656686684,0.09540499007619738
18,0.39394816002264593,10405.713030061901,0.15673330590109116
19,0.3478740613124513,10166.252680917589,0.10922232597849889
20,0.35161285436430384,12350.163160580893,0.09345257147810689
21,0.2946607878684449,12238.518408777521,0.09308298863139527
22,0.3608082015669084,13109.69539144807,0.08025330134571484
23,0.36176934019634,13863.815241707358,0.11295108994084464
24,0.30885181750374346,13098.119857315685,0.11465563792254488
25,0.3948185050508848,11428.727575055826,0.09075855723413206
26,0.3433564868236831,11283.208812758741,0.13849387443605193
27,0.3586794661706533,9661.972198647372,0.08995960159885863
28,0.3941890107760845,12983.17625076874,0.11149833015940444
29,0.34883143809356476,12616.346908455966,0.1309475381803545
30,0.39379630964891205,12325.23757309733,0.1263105837538951
31,0.33592308356175077,13586.745895493865,0.0636626083995186
32,0.34192177410593316,11986.97589020413,0.08138629642018747
33,0.3657690222080911,10989.924523340616,0.14727324938553074
34,0.3425758297020452,12966.403381727445,0.15183531990506946
35,0.3683313307649049,10675.436548901325,0.08467685048858459
36,0.4399174659983591,11771.900458160675,0.12092225096939888
37,0.3561740192584927,11653.598661883812,0.1443146428956135
38,0.35059463362884435,11958.131672145297,0.0996967535424919
39,0.3727723747753199,10457.517008455552,0.1431735240491136
40,0.4277737037013816,9800.340438868314,0.07542995825031966
41,0.38035529703958737,16163.712503135333,0.09920945218907676
42,0.2878985140409902,12840.128722906878,0.083052459883789
43,0.32369989749715883,11424.513178526251,0.12616396598385857
44,0.32866187021011894,12357.953103190952,0.10821594466435722
45,0.3072185693465764,11465.646605457545,0.08473538457100026
46,0.3492124970547133,10334.850026322067,0.09034685890070017
47,0.424237783824035,11858.201077268528,0.13515515561627087
48,0.37492871802432276,11319.208840041807,0.11796692774709547
49,0.3704936777317352,12364.891297772821,0.09327604276216997
50,0.39156567355135535,11076.242575355896,0.10028960577111169
51,0.30453383610136975,11363.011382306146,0.15353712156840307
52,0.29143669828107477,12178.545413537155,0.05815344416811971
53,0.348805339391871,13333.828756418898,0.11146595686497833
54,0.31766094792019384,12287.125336830939,0.12934852928880314
55,0.3827713016599003,15135.190743177869,0.13224223976492477
56,0.3194656758475644,11750.154260091953,0.10869498841610806
57,0.3543748787943577,11892.709762348493,0.12399744240118879
58,0.2684581496535731,13221.585602333302,0.08468877178154803
59,0.2915488963337939,12916.853662487178,0.14016569317138494
60,0.373977357187553,12180.187401411302,0.09950643877928457
61,0.49944868047992175,13302.778838329505,0.1226006187568332
62,0.31035870384208075,12068.103403359004,0.0725311655488112
63,0.3574101361267358,11264.147438771688,0.15631717467614853
64,0.39827179217828784,8328.626808796393,0.13134375967329373
65,0.2708953618328156,13674.754780180294,0.10287168510009846
66,0.37682572071637166,10414.802455040919,0.18200336016932017
67,0.45408013653602647,10415.285113249576,0.15609693740201114
68,0.31551902157326106,11902.345505210644,0.07955766490704429
69,0.4459534422971119,10546.287961328586,0.1335537447818476
70,0.3744118711528462,10995.189290810087,0.11754880835875864
71,0.3208736501683722,11739.087055334074,0.08270773331013452
72,0.3270487587024753,11630.83091960233,0.10381494451854763
73,0.35174352399164427,11504.592395262234,0.14011186845493195
74,0.3327260697653386,11734.372035927057,0.09692384370661197
75,0.32269378576689695,10145.130531141398,0.12552585753511383
76,0.292996635455994,10856.65585199273,0.11343128401485755
77,0.36933700433710964,11349.170655012033,0.07407626270201882
78,0.37025609609038285,12329.93990989014,0.08735737438916358
79,0.38829402194025525,10919.587383472859,0.09786114873009344
80,0.35371674777365525,11672.652813596316,0.12463465213134085
81,0.2714317252039296,14856.587767504929,0.08472994048062457
82,0.2744651366056415,12887.077576560056,0.09107106723860527
83,0.36536275058819084,11436.874314089988,0.12025124159323952
84,0.3613307232473025,10855.538139574057,0.14047156577982994
85,0.32547650845703024,10683.811241899552,0.11410642388439421
86,0.37151369796041167,11598.254710334635,0.10068619867878982
87,0.3805053162235729,9495.017150364027,0.09850802047615882
88,0.35087691746431016,10016.224858947287,0.11907832197586914
89,0.3461240488057807,13332.498429604058,0.09386950952268679
